# x        y       z        profile
-1.47314    2.75568    1.83333    0.80000
-1.47314    2.75568    0.83333    -0.80000
-1.94454    1.93918    0.50000    0.80000
-1.94454    3.57217    -0.50000    0.00000
-1.00173    1.93918    -0.83333    0.00000
-1.00173    1.93918    -1.83333    0.00000
-1.47314    2.75568    -2.16667    0.00000
-2.41595    2.75568    2.16667    -0.80000
-2.88735    3.57217    1.83333    0.80000
-2.88735    3.57217    0.83333    -0.80000
-3.35876    2.75568    0.50000    0.80000
-3.35876    4.38867    -0.50000    0.00000
-2.41595    2.75568    -0.83333    0.00000
-2.41595    2.75568    -1.83333    0.00000
-2.88735    3.57217    -2.16667    0.00000
3.24091    1.12268    2.16667    -0.80000
2.76950    1.93918    1.83333    0.80000
2.76950    1.93918    0.83333    -0.80000
2.29810    1.12268    0.50000    0.80000
2.29810    2.75568    -0.50000    0.00000
3.24091    1.12268    -0.83333    0.00000
3.24091    1.12268    -1.83333    0.00000
2.76950    1.93918    -2.16667    0.00000
1.82669    1.93918    2.16667    -0.80000
1.35529    2.75568    1.83333    0.80000
1.35529    2.75568    0.83333    -0.80000
0.88388    1.93918    0.50000    0.80000
0.88388    3.57217    -0.50000    0.00000
1.82669    1.93918    -0.83333    0.00000
1.82669    1.93918    -1.83333    0.00000
1.35529    2.75568    -2.16667    0.00000
0.41248    2.75568    2.16667    -0.80000
-0.05893    3.57217    1.83333    0.80000
-0.05893    3.57217    0.83333    -0.80000
-0.53033    2.75568    0.50000    0.80000
-0.53033    4.38867    -0.50000    0.00000
0.41248    2.75568    -0.83333    0.00000
0.41248    2.75568    -1.83333    0.00000
-0.05893    3.57217    -2.16667    0.00000
-1.00173    3.57217    2.16667    -0.80000
-1.47314    4.38867    1.83333    0.80000
-1.47314    4.38867    0.83333    -0.80000
-1.94454    3.57217    0.50000    0.80000
-1.94454    5.20517    -0.50000    0.00000
-1.00173    3.57217    -0.83333    0.00000
-1.00173    3.57217    -1.83333    0.00000
-1.47314    4.38867    -2.16667    0.00000
-2.41595    4.38867    2.16667    -0.80000
-2.88735    5.20517    1.83333    0.80000
-2.88735    5.20517    0.83333    -0.80000
-3.35876    4.38867    0.50000    0.80000
-3.35876    6.02166    -0.50000    0.00000
-2.41595    4.38867    -0.83333    0.00000
-2.41595    4.38867    -1.83333    0.00000
-2.88735    5.20517    -2.16667    0.00000
